A0,A1,A2,A3
3.502000093460083,0,0,0
3.497999906539917,0,0,0
3.5169999599456787,0,0,0
3.506999969482422,0,0,0
3.506999969482422,0,0,0
3.5309998989105225,0,0,0
3.5169999599456787,0,0,0
3.506999969482422,0,0,0
3.5209999084472656,0,0,0
3.562999963760376,0,0,0
3.5399999618530273,0,0,0
3.5399999618530273,0,0,0
3.5260000228881836,0,0,0
3.5309998989105225,0,0,0
3.5260000228881836,0,0,0
3.4839999675750732,0,0,0
3.5260000228881836,0,0,0
3.4700000286102295,0,0,0
3.5399999618530273,0,0,0
3.4839999675750732,0,0,0
3.5209999084472656,0,0,0
3.51200008392334,0,0,0
3.51200008392334,0,0,0
3.502000093460083,0,0,0
3.5309998989105225,0,0,0
3.5260000228881836,0,0,0
3.5260000228881836,0,0,0
3.5209999084472656,0,0,0
3.5169999599456787,0,0,0
3.5260000228881836,0,0,0
3.5260000228881836,0,0,0
3.5309998989105225,0,0,0
3.5350000858306885,0,0,0
3.553999900817871,0,0,0
3.5309998989105225,0,0,0
3.5209999084472656,0,0,0
3.553999900817871,0,0,0
3.5260000228881836,0,0,0
3.5399999618530273,0,0,0
3.5399999618530273,0,0,0
3.5209999084472656,0,0,0
3.5450000762939453,0,0,0
3.5309998989105225,0,0,0
3.5209999084472656,0,0,0
3.51200008392334,0,0,0
3.493000030517578,0,0,0
3.5309998989105225,0,0,0
3.5450000762939453,0,0,0
3.48799991607666,0,0,0
3.506999969482422,0,0,0
3.5209999084472656,0,0,0
3.5350000858306885,0,0,0
3.51200008392334,0,0,0
3.5260000228881836,0,0,0
3.51200008392334,0,0,0
3.497999906539917,0,0,0
3.5209999084472656,0,0,0
3.5309998989105225,0,0,0
3.5350000858306885,0,0,0
3.506999969482422,0,0,0
3.5260000228881836,0,0,0
3.5350000858306885,0,0,0
3.5450000762939453,0,0,0
3.5169999599456787,0,0,0
3.5260000228881836,0,0,0
3.51200008392334,0,0,0
3.51200008392334,0,0,0
3.5169999599456787,0,0,0
3.5260000228881836,0,0,0
3.5350000858306885,0,0,0
3.48799991607666,0,0,0
3.5169999599456787,0,0,0
3.4839999675750732,0,0,0
3.5260000228881836,0,0,0
3.48799991607666,0,0,0
3.5209999084472656,0,0,0
3.5450000762939453,0,0,0
3.5309998989105225,0,0,0
3.5309998989105225,0,0,0
3.497999906539917,0,0,0
3.5260000228881836,0,0,0
3.502000093460083,0,0,0
3.5209999084472656,0,0,0
3.506999969482422,0,0,0
3.506999969482422,0,0,0
3.493000030517578,0,0,0
3.5169999599456787,0,0,0
3.5209999084472656,0,0,0
3.5450000762939453,0,0,0
3.51200008392334,0,0,0
3.5309998989105225,0,0,0
3.4839999675750732,0,0,0
3.51200008392334,0,0,0
3.5399999618530273,0,0,0
3.5209999084472656,0,0,0
3.5209999084472656,0,0,0
3.5260000228881836,0,0,0
3.5260000228881836,0,0,0
3.5350000858306885,0,0,0
3.5309998989105225,0,0,0
3.5260000228881836,0,0,0
3.506999969482422,0,0,0
3.51200008392334,0,0,0
3.5350000858306885,0,0,0
3.5260000228881836,0,0,0
3.5209999084472656,0,0,0
3.51200008392334,0,0,0
3.4790000915527344,0,0,0
3.5260000228881836,0,0,0
3.5169999599456787,0,0,0
3.5350000858306885,0,0,0
3.5399999618530273,0,0,0
3.48799991607666,0,0,0
3.51200008392334,0,0,0
3.51200008392334,0,0,0
3.5209999084472656,0,0,0
3.5209999084472656,0,0,0
3.5260000228881836,0,0,0
3.4839999675750732,0,0,0
3.5309998989105225,0,0,0
3.497999906539917,0,0,0
3.5209999084472656,0,0,0
3.506999969482422,0,0,0
3.5399999618530273,0,0,0
3.5209999084472656,0,0,0
3.5169999599456787,0,0,0
3.5209999084472656,0,0,0
3.5399999618530273,0,0,0
3.5209999084472656,0,0,0
3.5309998989105225,0,0,0
3.5209999084472656,0,0,0
3.5169999599456787,0,0,0
3.502000093460083,0,0,0
3.48799991607666,0,0,0
3.51200008392334,0,0,0
3.559000015258789,0,0,0
3.553999900817871,0,0,0
3.51200008392334,0,0,0
3.5350000858306885,0,0,0
3.5309998989105225,0,0,0
3.5209999084472656,0,0,0
3.5309998989105225,0,0,0
3.5350000858306885,0,0,0
3.5209999084472656,0,0,0
3.5209999084472656,0,0,0
3.5350000858306885,0,0,0
3.4649999141693115,0,0,0
3.5399999618530273,0,0,0
3.5309998989105225,0,0,0
3.5260000228881836,0,0,0
3.5169999599456787,0,0,0
3.497999906539917,0,0,0
3.5209999084472656,0,0,0
3.5209999084472656,0,0,0
3.5209999084472656,0,0,0
3.502000093460083,0,0,0
3.5209999084472656,0,0,0
3.5260000228881836,0,0,0
3.5490000247955322,0,0,0
3.502000093460083,0,0,0
3.5490000247955322,0,0,0
3.5350000858306885,0,0,0
3.5490000247955322,0,0,0
3.5209999084472656,0,0,0
3.5350000858306885,0,0,0
3.51200008392334,0,0,0
3.5450000762939453,0,0,0
3.5260000228881836,0,0,0
3.506999969482422,0,0,0
3.5260000228881836,0,0,0
3.493000030517578,0,0,0
3.5209999084472656,0,0,0
3.502000093460083,0,0,0
3.5490000247955322,0,0,0
3.5450000762939453,0,0,0
3.4839999675750732,0,0,0
3.5450000762939453,0,0,0
3.493000030517578,0,0,0
3.5169999599456787,0,0,0
3.5209999084472656,0,0,0
3.493000030517578,0,0,0
3.4839999675750732,0,0,0
3.5399999618530273,0,0,0
3.5350000858306885,0,0,0
3.5309998989105225,0,0,0
3.5309998989105225,0,0,0
3.51200008392334,0,0,0
3.5350000858306885,0,0,0
3.497999906539917,0,0,0
3.5260000228881836,0,0,0
3.4839999675750732,0,0,0
3.5169999599456787,0,0,0
3.5260000228881836,0,0,0
3.506999969482422,0,0,0
3.5260000228881836,0,0,0
3.502000093460083,0,0,0
3.5309998989105225,0,0,0
3.51200008392334,0,0,0
3.51200008392334,0,0,0
3.5450000762939453,0,0,0
3.506999969482422,0,0,0
3.5260000228881836,0,0,0
3.5209999084472656,0,0,0
3.5169999599456787,0,0,0
3.553999900817871,0,0,0
3.5209999084472656,0,0,0
3.5260000228881836,0,0,0
3.502000093460083,0,0,0
3.5399999618530273,0,0,0
3.5309998989105225,0,0,0
3.5350000858306885,0,0,0
3.502000093460083,0,0,0
3.506999969482422,0,0,0
3.506999969482422,0,0,0
3.5209999084472656,0,0,0
3.493000030517578,0,0,0
3.493000030517578,0,0,0
3.5399999618530273,0,0,0
3.5309998989105225,0,0,0
3.497999906539917,0,0,0
3.5350000858306885,0,0,0
3.5209999084472656,0,0,0
3.4839999675750732,0,0,0
3.502000093460083,0,0,0
3.5350000858306885,0,0,0
3.5450000762939453,0,0,0
3.5260000228881836,0,0,0
3.502000093460083,0,0,0
3.5399999618530273,0,0,0
3.5209999084472656,0,0,0
3.5260000228881836,0,0,0
3.5169999599456787,0,0,0
3.502000093460083,0,0,0
3.5209999084472656,0,0,0
3.497999906539917,0,0,0
3.48799991607666,0,0,0
3.553999900817871,0,0,0
3.497999906539917,0,0,0
3.502000093460083,0,0,0
3.553999900817871,0,0,0
3.5309998989105225,0,0,0
3.4839999675750732,0,0,0
3.5169999599456787,0,0,0
3.5260000228881836,0,0,0
3.5169999599456787,0,0,0
3.5450000762939453,0,0,0
3.5169999599456787,0,0,0
3.5399999618530273,0,0,0
3.5399999618530273,0,0,0
3.493000030517578,0,0,0
3.5309998989105225,0,0,0
3.5399999618530273,0,0,0
3.506999969482422,0,0,0
3.502000093460083,0,0,0
3.5209999084472656,0,0,0
3.5169999599456787,0,0,0
3.5260000228881836,0,0,0
3.5209999084472656,0,0,0
3.5399999618530273,0,0,0
3.5169999599456787,0,0,0
3.48799991607666,0,0,0
3.502000093460083,0,0,0
3.5169999599456787,0,0,0
3.5209999084472656,0,0,0
3.51200008392334,0,0,0
3.5169999599456787,0,0,0
3.5169999599456787,0,0,0
3.5260000228881836,0,0,0
3.5260000228881836,0,0,0
3.4790000915527344,0,0,0
3.5350000858306885,0,0,0
3.502000093460083,0,0,0
3.506999969482422,0,0,0
3.5490000247955322,0,0,0
3.5209999084472656,0,0,0
3.506999969482422,0,0,0
3.5399999618530273,0,0,0
3.51200008392334,0,0,0
3.559000015258789,0,0,0
3.5169999599456787,0,0,0
3.559000015258789,0,0,0
3.506999969482422,0,0,0
3.5169999599456787,0,0,0
3.5350000858306885,0,0,0
3.5309998989105225,0,0,0
3.4839999675750732,0,0,0
3.5309998989105225,0,0,0
3.5169999599456787,0,0,0
3.5399999618530273,0,0,0
3.506999969482422,0,0,0
3.5399999618530273,0,0,0
3.5209999084472656,0,0,0
3.493000030517578,0,0,0
3.5399999618530273,0,0,0
3.506999969482422,0,0,0
3.497999906539917,0,0,0
3.5169999599456787,0,0,0
3.5309998989105225,0,0,0
3.4839999675750732,0,0,0
3.5399999618530273,0,0,0
3.5450000762939453,0,0,0
3.48799991607666,0,0,0
3.5399999618530273,0,0,0
3.4700000286102295,0,0,0
3.5209999084472656,0,0,0
3.5450000762939453,0,0,0
3.48799991607666,0,0,0
3.4700000286102295,0,0,0
3.5309998989105225,0,0,0
3.5490000247955322,0,0,0
3.4839999675750732,0,0,0
3.5169999599456787,0,0,0
3.559000015258789,0,0,0
3.4600000381469727,0,0,0
3.5209999084472656,0,0,0
3.5399999618530273,0,0,0
3.4790000915527344,0,0,0
3.5169999599456787,0,0,0
3.5260000228881836,0,0,0
3.5309998989105225,0,0,0
3.5450000762939453,0,0,0
3.4700000286102295,0,0,0
3.5260000228881836,0,0,0
3.4649999141693115,0,0,0
3.502000093460083,0,0,0
3.5260000228881836,0,0,0
3.51200008392334,0,0,0
3.5260000228881836,0,0,0
3.5209999084472656,0,0,0
3.5260000228881836,0,0,0
3.4839999675750732,0,0,0
3.493000030517578,0,0,0
3.5209999084472656,0,0,0
3.5169999599456787,0,0,0
3.4700000286102295,0,0,0
3.5169999599456787,0,0,0
3.497999906539917,0,0,0
3.5209999084472656,0,0,0
3.5209999084472656,0,0,0
3.5309998989105225,0,0,0
3.5260000228881836,0,0,0
3.4649999141693115,0,0,0
3.51200008392334,0,0,0
3.5260000228881836,0,0,0
3.493000030517578,0,0,0
3.5209999084472656,0,0,0
3.5209999084472656,0,0,0
3.5209999084472656,0,0,0
3.51200008392334,0,0,0
3.502000093460083,0,0,0
3.502000093460083,0,0,0
3.502000093460083,0,0,0
3.5399999618530273,0,0,0
3.5350000858306885,0,0,0
3.5169999599456787,0,0,0
3.506999969482422,0,0,0
3.5169999599456787,0,0,0
3.51200008392334,0,0,0
3.5260000228881836,0,0,0
3.493000030517578,0,0,0
3.48799991607666,0,0,0
3.5209999084472656,0,0,0
3.5209999084472656,0,0,0
3.5169999599456787,0,0,0
3.502000093460083,0,0,0
3.5209999084472656,0,0,0
3.553999900817871,0,0,0
3.5350000858306885,0,0,0
3.497999906539917,0,0,0
3.4560000896453857,0,0,0
3.502000093460083,0,0,0
3.5399999618530273,0,0,0
3.502000093460083,0,0,0
3.5350000858306885,0,0,0
3.502000093460083,0,0,0
3.51200008392334,0,0,0
3.5309998989105225,0,0,0
3.506999969482422,0,0,0
3.5490000247955322,0,0,0
3.5309998989105225,0,0,0
3.48799991607666,0,0,0
3.51200008392334,0,0,0
3.4790000915527344,0,0,0
3.4839999675750732,0,0,0
3.5209999084472656,0,0,0
3.5169999599456787,0,0,0
3.48799991607666,0,0,0
3.506999969482422,0,0,0
3.4649999141693115,0,0,0
3.5169999599456787,0,0,0
3.506999969482422,0,0,0
3.5309998989105225,0,0,0
3.497999906539917,0,0,0
3.48799991607666,0,0,0
3.497999906539917,0,0,0
3.497999906539917,0,0,0
3.497999906539917,0,0,0
3.5350000858306885,0,0,0
3.51200008392334,0,0,0
3.497999906539917,0,0,0
3.51200008392334,0,0,0
3.493000030517578,0,0,0
3.497999906539917,0,0,0
3.4839999675750732,0,0,0
3.497999906539917,0,0,0
3.5350000858306885,0,0,0
3.4839999675750732,0,0,0
3.48799991607666,0,0,0
3.4790000915527344,0,0,0
3.5209999084472656,0,0,0
3.5350000858306885,0,0,0
3.5450000762939453,0,0,0
3.5209999084472656,0,0,0
3.502000093460083,0,0,0
3.502000093460083,0,0,0
3.493000030517578,0,0,0
3.5260000228881836,0,0,0
3.51200008392334,0,0,0
3.5309998989105225,0,0,0
3.5309998989105225,0,0,0
3.5450000762939453,0,0,0
3.5399999618530273,0,0,0
3.502000093460083,0,0,0
3.5399999618530273,0,0,0
3.506999969482422,0,0,0
3.5169999599456787,0,0,0
3.51200008392334,0,0,0
3.5399999618530273,0,0,0
3.48799991607666,0,0,0
3.5350000858306885,0,0,0
3.497999906539917,0,0,0
3.5260000228881836,0,0,0
3.5169999599456787,0,0,0
3.502000093460083,0,0,0
3.5169999599456787,0,0,0
3.553999900817871,0,0,0
3.506999969482422,0,0,0
3.48799991607666,0,0,0
3.5309998989105225,0,0,0
3.5169999599456787,0,0,0
3.5309998989105225,0,0,0
3.5450000762939453,0,0,0
3.502000093460083,0,0,0
3.48799991607666,0,0,0
3.502000093460083,0,0,0
3.497999906539917,0,0,0
3.51200008392334,0,0,0
3.5399999618530273,0,0,0
3.5309998989105225,0,0,0
3.5309998989105225,0,0,0
3.5309998989105225,0,0,0
3.553999900817871,0,0,0
3.4839999675750732,0,0,0
3.5169999599456787,0,0,0
3.51200008392334,0,0,0
3.502000093460083,0,0,0
3.51200008392334,0,0,0
3.493000030517578,0,0,0
3.5260000228881836,0,0,0
3.48799991607666,0,0,0
3.5209999084472656,0,0,0
3.5450000762939453,0,0,0
3.5450000762939453,0,0,0
3.5350000858306885,0,0,0
3.502000093460083,0,0,0
3.5260000228881836,0,0,0
3.506999969482422,0,0,0
3.5209999084472656,0,0,0
3.506999969482422,0,0,0
3.5350000858306885,0,0,0
3.497999906539917,0,0,0
3.5309998989105225,0,0,0
3.5399999618530273,0,0,0
3.502000093460083,0,0,0
3.5309998989105225,0,0,0
3.5309998989105225,0,0,0
3.5209999084472656,0,0,0
3.48799991607666,0,0,0
3.5350000858306885,0,0,0
3.506999969482422,0,0,0
3.5209999084472656,0,0,0
3.5309998989105225,0,0,0
3.5169999599456787,0,0,0
3.4839999675750732,0,0,0
3.506999969482422,0,0,0
3.5260000228881836,0,0,0
3.5350000858306885,0,0,0
3.4649999141693115,0,0,0
3.5399999618530273,0,0,0
3.5490000247955322,0,0,0
3.5260000228881836,0,0,0
3.4790000915527344,0,0,0
3.4790000915527344,0,0,0
3.5309998989105225,0,0,0
3.5350000858306885,0,0,0
3.5209999084472656,0,0,0
3.559000015258789,0,0,0
3.5209999084472656,0,0,0
3.502000093460083,0,0,0
3.5209999084472656,0,0,0
3.497999906539917,0,0,0
3.502000093460083,0,0,0
3.5450000762939453,0,0,0
3.5260000228881836,0,0,0
3.5209999084472656,0,0,0
3.5169999599456787,0,0,0
3.51200008392334,0,0,0
3.5169999599456787,0,0,0
3.5399999618530273,0,0,0
3.5450000762939453,0,0,0
3.5260000228881836,0,0,0
3.5450000762939453,0,0,0
3.4739999771118164,0,0,0
3.48799991607666,0,0,0
3.48799991607666,0,0,0
3.5450000762939453,0,0,0
3.497999906539917,0,0,0
3.4839999675750732,0,0,0
3.5260000228881836,0,0,0
3.48799991607666,0,0,0
3.497999906539917,0,0,0
3.5209999084472656,0,0,0
3.5209999084472656,0,0,0
3.497999906539917,0,0,0
3.5450000762939453,0,0,0
3.48799991607666,0,0,0
3.51200008392334,0,0,0
3.5399999618530273,0,0,0
3.5260000228881836,0,0,0
3.568000078201294,0,0,0
3.5490000247955322,0,0,0
3.553999900817871,0,0,0
3.568000078201294,0,0,0
3.5350000858306885,0,0,0
3.5309998989105225,0,0,0
3.5169999599456787,0,0,0
3.5450000762939453,0,0,0
3.559000015258789,0,0,0
3.5260000228881836,0,0,0
3.5309998989105225,0,0,0
3.51200008392334,0,0,0
3.5209999084472656,0,0,0
3.5450000762939453,0,0,0
3.48799991607666,0,0,0
3.51200008392334,0,0,0
3.5260000228881836,0,0,0
3.5260000228881836,0,0,0
3.497999906539917,0,0,0
3.5350000858306885,0,0,0
3.5490000247955322,0,0,0
3.502000093460083,0,0,0
3.553999900817871,0,0,0
3.497999906539917,0,0,0
3.5169999599456787,0,0,0
3.5490000247955322,0,0,0
3.553999900817871,0,0,0
3.5350000858306885,0,0,0
3.5209999084472656,0,0,0
3.4739999771118164,0,0,0
3.5209999084472656,0,0,0
3.5350000858306885,0,0,0
3.5350000858306885,0,0,0
3.5209999084472656,0,0,0
3.502000093460083,0,0,0
3.4839999675750732,0,0,0
3.4739999771118164,0,0,0
3.497999906539917,0,0,0
3.493000030517578,0,0,0
3.5399999618530273,0,0,0
3.553999900817871,0,0,0
3.506999969482422,0,0,0
3.493000030517578,0,0,0
3.506999969482422,0,0,0
3.5450000762939453,0,0,0
3.5350000858306885,0,0,0
3.5169999599456787,0,0,0
3.506999969482422,0,0,0
3.506999969482422,0,0,0
3.5309998989105225,0,0,0
3.48799991607666,0,0,0
3.493000030517578,0,0,0
3.559000015258789,0,0,0
3.497999906539917,0,0,0
3.5490000247955322,0,0,0
3.5209999084472656,0,0,0
3.497999906539917,0,0,0
3.5490000247955322,0,0,0
3.5350000858306885,0,0,0
3.5209999084472656,0,0,0
3.48799991607666,0,0,0
3.506999969482422,0,0,0
3.5260000228881836,0,0,0
3.5209999084472656,0,0,0
3.5260000228881836,0,0,0
3.5309998989105225,0,0,0
3.502000093460083,0,0,0
3.5450000762939453,0,0,0
3.493000030517578,0,0,0
3.559000015258789,0,0,0
3.51200008392334,0,0,0
3.4839999675750732,0,0,0
3.51200008392334,0,0,0
3.497999906539917,0,0,0
3.506999969482422,0,0,0
3.5350000858306885,0,0,0
3.506999969482422,0,0,0
3.5260000228881836,0,0,0
3.5169999599456787,0,0,0
3.502000093460083,0,0,0
3.5350000858306885,0,0,0
3.502000093460083,0,0,0
3.51200008392334,0,0,0
3.51200008392334,0,0,0
3.51200008392334,0,0,0
3.5169999599456787,0,0,0
3.5350000858306885,0,0,0
3.553999900817871,0,0,0
3.5209999084472656,0,0,0
3.5350000858306885,0,0,0
3.5490000247955322,0,0,0
3.5209999084472656,0,0,0
3.5169999599456787,0,0,0
3.497999906539917,0,0,0
3.5260000228881836,0,0,0
3.5169999599456787,0,0,0
3.4739999771118164,0,0,0
3.5209999084472656,0,0,0
3.553999900817871,0,0,0
3.4649999141693115,0,0,0
3.502000093460083,0,0,0
3.506999969482422,0,0,0
3.5490000247955322,0,0,0
3.5309998989105225,0,0,0
3.51200008392334,0,0,0
3.502000093460083,0,0,0
3.5350000858306885,0,0,0
3.502000093460083,0,0,0
3.4739999771118164,0,0,0
3.5209999084472656,0,0,0
3.5209999084472656,0,0,0
3.5260000228881836,0,0,0
3.5399999618530273,0,0,0
3.5450000762939453,0,0,0
3.502000093460083,0,0,0
3.5350000858306885,0,0,0
3.51200008392334,0,0,0
3.51200008392334,0,0,0
3.5309998989105225,0,0,0
3.497999906539917,0,0,0
3.502000093460083,0,0,0
3.5260000228881836,0,0,0
3.5209999084472656,0,0,0
3.502000093460083,0,0,0
3.5209999084472656,0,0,0
3.5450000762939453,0,0,0
3.506999969482422,0,0,0
3.502000093460083,0,0,0
3.5350000858306885,0,0,0
3.578000068664551,0,0,0
3.5309998989105225,0,0,0
3.5490000247955322,0,0,0
3.5260000228881836,0,0,0
3.5309998989105225,0,0,0
3.5169999599456787,0,0,0
3.5260000228881836,0,0,0
3.51200008392334,0,0,0
3.5399999618530273,0,0,0
3.5260000228881836,0,0,0
3.497999906539917,0,0,0
3.5209999084472656,0,0,0
3.5169999599456787,0,0,0
3.5309998989105225,0,0,0
3.497999906539917,0,0,0
3.5169999599456787,0,0,0
3.51200008392334,0,0,0
3.5450000762939453,0,0,0
3.5309998989105225,0,0,0
3.5490000247955322,0,0,0
3.5209999084472656,0,0,0
3.5350000858306885,0,0,0
3.5209999084472656,0,0,0
3.5209999084472656,0,0,0
3.5260000228881836,0,0,0
3.5450000762939453,0,0,0
3.48799991607666,0,0,0
3.568000078201294,0,0,0
3.5350000858306885,0,0,0
3.5309998989105225,0,0,0
3.5209999084472656,0,0,0
3.5260000228881836,0,0,0
3.4700000286102295,0,0,0
3.5309998989105225,0,0,0
3.506999969482422,0,0,0
3.5309998989105225,0,0,0
3.5260000228881836,0,0,0
3.5260000228881836,0,0,0
3.51200008392334,0,0,0
3.5350000858306885,0,0,0
3.502000093460083,0,0,0
3.51200008392334,0,0,0
3.497999906539917,0,0,0
3.5260000228881836,0,0,0
3.502000093460083,0,0,0
3.5169999599456787,0,0,0
3.5209999084472656,0,0,0
3.5260000228881836,0,0,0
3.497999906539917,0,0,0
3.5260000228881836,0,0,0
3.502000093460083,0,0,0
3.5260000228881836,0,0,0
3.5490000247955322,0,0,0
3.4739999771118164,0,0,0
3.51200008392334,0,0,0
3.553999900817871,0,0,0
3.51200008392334,0,0,0
3.5350000858306885,0,0,0
3.51200008392334,0,0,0
3.5309998989105225,0,0,0
3.5399999618530273,0,0,0
3.5209999084472656,0,0,0
3.5399999618530273,0,0,0
3.5260000228881836,0,0,0
3.5209999084472656,0,0,0
3.5209999084472656,0,0,0
3.5350000858306885,0,0,0
3.568000078201294,0,0,0
3.5350000858306885,0,0,0
3.4790000915527344,0,0,0
3.5350000858306885,0,0,0
3.553999900817871,0,0,0
3.5209999084472656,0,0,0
3.493000030517578,0,0,0
3.497999906539917,0,0,0
3.5209999084472656,0,0,0
3.497999906539917,0,0,0
3.51200008392334,0,0,0
3.497999906539917,0,0,0
3.5169999599456787,0,0,0
3.553999900817871,0,0,0
3.5169999599456787,0,0,0
3.5309998989105225,0,0,0
3.5169999599456787,0,0,0
3.5209999084472656,0,0,0
3.5450000762939453,0,0,0
3.4839999675750732,0,0,0
3.5309998989105225,0,0,0
3.4839999675750732,0,0,0
3.497999906539917,0,0,0
3.5209999084472656,0,0,0
3.5260000228881836,0,0,0
3.5169999599456787,0,0,0
3.4790000915527344,0,0,0
3.497999906539917,0,0,0
3.51200008392334,0,0,0
3.506999969482422,0,0,0
3.5260000228881836,0,0,0
3.51200008392334,0,0,0
3.4839999675750732,0,0,0
3.502000093460083,0,0,0
3.553999900817871,0,0,0
3.5169999599456787,0,0,0
3.502000093460083,0,0,0
3.493000030517578,0,0,0
3.51200008392334,0,0,0
3.4839999675750732,0,0,0
3.5260000228881836,0,0,0
3.493000030517578,0,0,0
3.48799991607666,0,0,0
3.51200008392334,0,0,0
3.497999906539917,0,0,0
3.4739999771118164,0,0,0
3.5350000858306885,0,0,0
3.493000030517578,0,0,0
3.4790000915527344,0,0,0
3.5350000858306885,0,0,0
3.4790000915527344,0,0,0
3.5399999618530273,0,0,0
3.5209999084472656,0,0,0
3.502000093460083,0,0,0
3.497999906539917,0,0,0
3.497999906539917,0,0,0
3.493000030517578,0,0,0
3.5450000762939453,0,0,0
3.48799991607666,0,0,0
3.5490000247955322,0,0,0
3.5260000228881836,0,0,0
3.5169999599456787,0,0,0
3.48799991607666,0,0,0
3.5260000228881836,0,0,0
3.51200008392334,0,0,0
3.5309998989105225,0,0,0
3.5309998989105225,0,0,0
3.48799991607666,0,0,0
3.5169999599456787,0,0,0
3.51200008392334,0,0,0
3.5309998989105225,0,0,0
3.5209999084472656,0,0,0
3.51200008392334,0,0,0
3.5209999084472656,0,0,0
3.5169999599456787,0,0,0
3.5309998989105225,0,0,0
3.48799991607666,0,0,0
3.5169999599456787,0,0,0
3.48799991607666,0,0,0
3.493000030517578,0,0,0
3.502000093460083,0,0,0
3.5209999084472656,0,0,0
3.5350000858306885,0,0,0
3.51200008392334,0,0,0
3.5350000858306885,0,0,0
3.5399999618530273,0,0,0
3.502000093460083,0,0,0
3.502000093460083,0,0,0
3.4649999141693115,0,0,0
3.5260000228881836,0,0,0
3.5169999599456787,0,0,0
3.493000030517578,0,0,0
3.5260000228881836,0,0,0
3.497999906539917,0,0,0
3.5260000228881836,0,0,0
3.51200008392334,0,0,0
3.5309998989105225,0,0,0
3.493000030517578,0,0,0
3.5169999599456787,0,0,0
3.506999969482422,0,0,0
3.5309998989105225,0,0,0
3.5350000858306885,0,0,0
3.502000093460083,0,0,0
3.5309998989105225,0,0,0
3.5309998989105225,0,0,0
3.5309998989105225,0,0,0
3.4839999675750732,0,0,0
3.502000093460083,0,0,0
3.497999906539917,0,0,0
3.5209999084472656,0,0,0
3.493000030517578,0,0,0
3.51200008392334,0,0,0
3.5350000858306885,0,0,0
3.497999906539917,0,0,0
3.5350000858306885,0,0,0
3.497999906539917,0,0,0
3.5169999599456787,0,0,0
3.51200008392334,0,0,0
3.5169999599456787,0,0,0
3.5309998989105225,0,0,0
3.497999906539917,0,0,0
3.4649999141693115,0,0,0
3.497999906539917,0,0,0
3.5309998989105225,0,0,0
3.506999969482422,0,0,0
3.5169999599456787,0,0,0
3.51200008392334,0,0,0
3.51200008392334,0,0,0
3.5490000247955322,0,0,0
3.5399999618530273,0,0,0
3.51200008392334,0,0,0
3.5260000228881836,0,0,0
3.5490000247955322,0,0,0
3.5309998989105225,0,0,0
3.5350000858306885,0,0,0
3.497999906539917,0,0,0
3.5450000762939453,0,0,0
3.5399999618530273,0,0,0
3.502000093460083,0,0,0
3.5309998989105225,0,0,0
3.5260000228881836,0,0,0
3.5450000762939453,0,0,0
3.5309998989105225,0,0,0
3.5260000228881836,0,0,0
3.5260000228881836,0,0,0
3.493000030517578,0,0,0
3.5450000762939453,0,0,0
3.493000030517578,0,0,0
3.4839999675750732,0,0,0
3.562999963760376,0,0,0
3.502000093460083,0,0,0
3.5490000247955322,0,0,0
3.5209999084472656,0,0,0
3.553999900817871,0,0,0
3.5350000858306885,0,0,0
3.506999969482422,0,0,0
3.506999969482422,0,0,0
